Source,Title,Published Date,Content,Link
BBC,'My husband is a fighter pilot in Ukraine. Here's how I really feel about a ceasefire',"Sun, 23 Mar 2025 01:54:53 GMT","Maria, whose husband Ivan has been risking his life since the first day of the war, is cautiously hoping for a truce.",https://www.bbc.com/news/articles/c70wgq7y11qo
BBC,MS Dhoni: The 43-year-old Indian cricket icon gears up for another IPL,"Sun, 23 Mar 2025 01:50:23 GMT","Dhoni, who turns 44 in July, is playing his 18th straight IPL season. Will this be his swansong?",https://www.bbc.com/news/articles/c5y2z448e8xo
RT news,Turkish opposition politicians scuffle with police (VIDEOS),"Sun, 23 Mar 2025 01:45:09 +0000","The brawl took place amid massive protests demanding the release of Istanbul’s mayor from police custody Supporters of detained Istanbul Mayor Ekrem Imamoglu have attempted to break through a security barrier erected by police inside a courthouse on Sunday. Lawmakers from the opposition Republican People&rsquo;s Party (CHP) scuffled with officers and dismantled a barricade in the lobby. Imamoglu was earlier taken to the courthouse, where the judge is expected to rule on the prosecution&rsquo;s request to arrest him on corruption and terrorism charges. The CHP has called on people to defy a ban on rallies in Istanbul and take to",https://www.rt.com/news/614646-turkish-lawmakers-scuffle-police/?utm_source=rss&utm_medium=rss&utm_campaign=RSS
BBC,Israeli air strike kills Hamas official in Gaza,"Sun, 23 Mar 2025 01:44:26 GMT","Salah al-Bardaweel and his wife died in the southern city of Khan Younis, a Hamas source told the BBC.",https://www.bbc.com/news/articles/cq5zxe5l58go
ABC News,New Canadian Prime Minister Carney will run in Ottawa area district as he seeks to join Parliament,"Sat, 22 Mar 2025 21:26:57 -0400",Two officials familiar with the matter say new Canadian Prime Minister Mark Carney will run in an Ottawa area district as he seeks to join Parliament for the first time,https://abcnews.go.com/International/wireStory/new-canadian-prime-minister-carney-run-ottawa-area-120066873
RT news,Czech president admits he knew Ukraine’s 2023 counteroffensive was doomed,"Sun, 23 Mar 2025 01:17:59 +0000","Kiev did not have the manpower to push back the Russians, Petr Pavel has said Ukraine&rsquo;s much-hyped 2023 counteroffensive against the Russian troops was doomed from the start, Czech President Petr Pavel has said.&nbsp; Pavel, the Czech Republic&rsquo;s ex-top military commander, made his comments in an interview with European Pravda published on Saturday. He warned that, given the diminishing foreign aid and acute personnel shortages, Ukraine will not be able to win back any territory &ldquo;without huge losses.&rdquo;&nbsp; &ldquo;That is why my quite realistic assessment was that this conflict, without changing the [existing] parameters, will most probably end up with",https://www.rt.com/news/614645-czech-president-ukraine-doomed/?utm_source=rss&utm_medium=rss&utm_campaign=RSS
BBC,The man with a mind-reading chip in his brain - thanks to Elon Musk,"Sun, 23 Mar 2025 01:04:10 GMT",Noland Arbaugh tells the BBC how being the first Neuralink patient has changed his life.,https://www.bbc.com/news/articles/cewk49j7j1po
BBC,Protesters in Turkey rally 'for justice' after mayor's arrest,"Sun, 23 Mar 2025 01:00:15 GMT",Prosecutors request Istanbul Mayor Ekrem Imamoglu's formal arrest on terrorism and corruption charges.,https://www.bbc.com/news/articles/c0egjvj8vdro
RT news,NASA removes diversity pledge from lunar program,"Sun, 23 Mar 2025 00:49:36 +0000","The US space agency has dropped DEI-focused language in response to Trump’s executive order NASA has scrubbed its public commitment to land the first woman and the first person of color on the Moon under its Artemis lunar program. The change comes in response to US President Donald Trump&rsquo;s campaign to eliminate diversity, equity, and inclusion (DEI) policies in all federal agencies. Artemis aims to land humans on the Moon for the first time since 1972. The space agency previously said on its website that it would land &ldquo;the first woman, the first person of color, and the first international",https://www.rt.com/news/614644-nasa-abandons-moon-diversity-program/?utm_source=rss&utm_medium=rss&utm_campaign=RSS
BBC,A life searching rows of unclaimed bodies for disappeared brothers and sons,"Sun, 23 Mar 2025 00:32:44 GMT",Women across generations in Pakistan's Balochistan are demanding answers about the missing men in their lives.,https://www.bbc.com/news/articles/c15qyyzz89lo
BBC,Trump envoy dismisses Starmer plan for Ukraine,"Sun, 23 Mar 2025 00:01:17 GMT","Steve Witkoff says the UK plans for an international force to support a ceasefire are a ""posture"".",https://www.bbc.com/news/articles/c62zm4eqvp7o
Fox News,Germany temporarily shuts embassy in South Sudan amid fears of civil war,"Sat, 22 Mar 2025 19:09:36 -0400","Germany has temporarily closed its embassy in South Sudan's capital Juba because of rising tensions that have brought the East African country to the verge of civil war, the German foreign ministry said on Saturday.South Sudan President Salva Kiir this week sacked the governor of Upper Nile state, where clashes have escalated between government troops and an ethnic militia he accuses of allying with his rival, First Vice President Riek Machar.EU DENIES INTENT TO DELAY SOUTH SUDAN ELECTIONSThe standoff has heightened concerns that the world's newest nation could slide back into conflict some seven years after its emergence from a",https://www.foxnews.com/world/germany-temporarily-shuts-embassy-south-sudan-amid-fears-civil-war
